model,r2,rmse,mae,train_time_s,n_trials,status
xgboost,0.0468459118790012,0.0125214284800323,0.010257168788596,72.3,,ok
lightgbm,-0.0270869886299285,0.0129979820698743,0.0107722858682596,246.6,,ok
catboost,0.1215630028375911,0.0120206410585682,0.0096231631016353,52.3,,ok
ft_transformer,0.1962046431231524,0.0114986026440334,0.0095751049917546,776.7,,ok
autogluon,-0.15175543374713274,0.013764246912984557,0.011742500698559054,619.5,,ok
